ID,Type,SKU,Name,Published,"Is featured?","Visibility in catalog","Short description",Description,"Date sale price starts","Date sale price ends","Tax status","Tax class","In stock?",Stock,"Low stock amount","Backorders allowed?","Sold individually?","Weight (kg)","Length (cm)","Width (cm)","Height (cm)","Allow customer reviews?","Purchase note","Sale price","Regular price",Categories,Tags,"Shipping class",Images,"Download limit","Download expiry days",Parent,"Grouped products",Upsells,Cross-sells,"External URL","Button text",Position,"Attribute 1 name","Attribute 1 value(s)","Attribute 1 visible","Attribute 1 global","Attribute 2 name","Attribute 2 value(s)","Attribute 2 visible","Attribute 2 global","Meta: _wp_old_date"
244,simple,M210-99-02,"Eleana susponsion globale",1,0,visible,"suspension en bambou - d45cm","<strong>Lumière des tropiques</strong>\nDécouvrez une collection de luminaire élégante et aérienne qui apportera une touche naturelle à votre décoration. Déclinées en deux tailles les suspensions non-électrifiées Eleana invitent à jouer sur les volumes, les longueurs des cordons que vous ajouterez, et à les mélanger, par exemple, avec les luminaires de la collection Fatsia pour rester dans un esprit naturel.",,,taxable,,1,56,,0,0,44,45,18,45,1,,,"49,00","Luminaire > Luminaire suspendu",,,"http://localhost/SDeco/wordpress/wp-content/uploads/2021/11/susp1.png, http://localhost/SDeco/wordpress/wp-content/uploads/2021/11/Capture-decran-du-2021-11-22-10-02-54.png, http://localhost/SDeco/wordpress/wp-content/uploads/2021/11/SUSPENSION-NATUREL-ELEANA-26516325-A-2.jpg",,,,,,,,,0,,,,,,,,,
249,simple,52FG-99-02,"lampp extérieure",1,0,visible,"lampe extérieure a différentes style","Une élégante suspension extérieure sphérique pour décorer votre terrasse. Aucune installation électrique n'est nécessaire, elle fonctionne grâce à une batterie. Une très longue autonomie vous permettra de profiter pleinement des longues soirées d'été. Choisissez la lumière diffusée parmi 4 couleurs, blanc, vert, rouge et bleu. Vous pourrez ainsi adapter la lumière selon vos envies pour des ambiances des plus agréables.",,,taxable,,1,5,,0,0,,,,,1,,,"49,00","Luminaire > Luminaire suspendu",,,"http://localhost/SDeco/wordpress/wp-content/uploads/2021/11/p.jpg, http://localhost/SDeco/wordpress/wp-content/uploads/2021/11/applique-murale-exterieure-col-de-cygne-en-acier-carbone.jpg",,,,,,,,,0,,,,,,,,,
253,simple,PO74-96,"Suspension globe en verre",1,0,visible,"<p class=""h1"">Suspension globe en verre fumé et armature laiton Opal House Doctor - PM</p>","La suspension Opal de House Doctor mêle avec sophistication un globe en verre fumé gris à une douille en laiton doré, idéal aussi bien dans une ambiance art déco que dans un style plus urbain contemporain. Associez la aux autres luminaires de la même collection Opal, pour créer un ensemble de grappes qui illumineront joliment votre salon ou votre salle à manger. L'ensemble occupera majestueusement les volumes de votre intérieur. Suspension vendue à l'unité.",,,taxable,,1,34,,0,0,1.115,,,,1,"Norme : Certifiée CE, Rohs",,"109,00","Luminaire > Luminaire suspendu",,,"http://localhost/SDeco/wordpress/wp-content/uploads/2021/11/suspension-globe-en-verre-fume-et-armature-laiton-opal-house-doctor-pm.jpg, http://localhost/SDeco/wordpress/wp-content/uploads/2021/11/suspension-globe-en-verre-fume-et-armature-laiton-opal-house-doctor-pm-1.jpg, http://localhost/SDeco/wordpress/wp-content/uploads/2021/11/suspension-globe-en-verre-fume-et-armature-laiton-opal-house-doctor-pm-2.jpg",,,,,,,,,0,Modèle,"Petit modèle",1,0,"Matière détaillée","Verre et métal",1,0,
258,simple,ZT660T,"Guirlande guinguette grappe",1,0,visible,,"Coup de coeur pour cette guirlande grappe qui illuminera votre jardin de ses 5 douilles et 25 micro leds. A la fois décorative, fonctionnelle et indispensable pour accompagner vos soirées festives, cette cascade d'ampoules est dotée d'un crochet qui vous permettra de l'accrocher et la suspendre facilement à une branche d'arbre, elle apportera une ambiance chaleureuse dans votre extérieur. Notez que cette guirlande fonctionne .",,,taxable,,1,80,,0,0,,,,,1,"Complément : Usage en intérieur et extérieur (IP44)
Chaque ampoule contient 5 LED non remplaçables
Durée de vie: 30 jours en mode stable, 45 jours en mode clignotan",,"35,92","Luminaire > Luminaire suspendu",,,"http://localhost/SDeco/wordpress/wp-content/uploads/2021/11/l.jpg, http://localhost/SDeco/wordpress/wp-content/uploads/2021/11/l4l.jpg, http://localhost/SDeco/wordpress/wp-content/uploads/2021/11/lma.jpg",,,,,,,,,0,,,,,,,,,
262,simple,PI580,"Étoile d'or en gristale",1,0,visible,,"Fruit d’un savoir faire incroyable et d’un assemblage harmonieux de deux matériaux précieux, le cuivre et le verre, l’étoile d’Or est une pièce somptueuse. Par ses formes délicatement étirées, elle sublimenra votre pièce.",,,taxable,,1,78,,0,0,,50,,50,1,,,"390,00","Luminaire > Luminaire suspendu",,,"http://localhost/SDeco/wordpress/wp-content/uploads/2021/11/K124-2.jpg, http://localhost/SDeco/wordpress/wp-content/uploads/2021/11/K124-2.jpg, http://localhost/SDeco/wordpress/wp-content/uploads/2021/11/etoiledor.jpg",,,,,,,,,0,,,,,,,,,
265,simple,T478,"Suspension en fil métallique noir",1,0,visible,,"<span style=""vertical-align: inherit;""><span style=""vertical-align: inherit;"">En forme de cocon, on opte pour cette suspension au design original, proposée par Casatera. </span><span style=""vertical-align: inherit;"">On apprécie tout particulièrement le détail du maillage en fil de fer noir, qui réflechira la luminosité de l'ampoule à travers les multiples alvéoles. </span><span style=""vertical-align: inherit;"">Egalement déclinée en coloris doré, sur l'imagine aussi bien suspendue dans une chambre à coucher que dans une salle à manger au dessus d'une table de repas.</span></span>",,,taxable,,1,78,,0,0,,40,,40,1,"Système électrique : Non inclus
Utilisation : Intérieure
Matière détaillée : Fil métallique",,"50,92","Luminaire > Luminaire suspendu",,,"http://localhost/SDeco/wordpress/wp-content/uploads/2021/11/4.jpg, http://localhost/SDeco/wordpress/wp-content/uploads/2021/11/44.jpg, http://localhost/SDeco/wordpress/wp-content/uploads/2021/11/444.jpg",,,,,,,,,0,,,,,,,,,
313,simple,ZV59-12,"Lampe champignon en métal doré",1,0,visible,,"Jolie lampe à poser proposée par la marque scandinave Hübsch, qui apportera beaucoup de cachet à un buffet ou une table de chevet. Entièrement réalisé en métal doré, cet éclairage se compose de façon minimaliste d'un piétement conique qui vient receptionner un diffuseur en demi-sphère, rappelant les lampes ""champignons"", un design iconique des années 70.",,,taxable,,1,40,,0,0,2.6,25,,33,1,"Puissance ampoule : 15W
Type de douille : E14
Matière détaillée : Métal","100,00","129,00","Luminaire, Luminaire > Luminaire à poser",,,"http://localhost/SDeco/wordpress/wp-content/uploads/2021/11/lampe-champignon-en-metal-dore-hubsch.jpg, http://localhost/SDeco/wordpress/wp-content/uploads/2021/11/lampe-champignon-en-metal-dore-hubsch-1.jpg",,,,,,,,,0,,,,,,,,,
316,simple,L44hk-09,"TOMONS Lampes de Chevet LED",1,0,visible,,"La lampe Mille Nuits allie parfaitement raffinement et intemporalité. Parée de cristal taillé et d’un abat-jour en tissu plissé, elle habille l’espace d’une touche baroque et moderne à la fois.",,,taxable,,1,77,,0,0,,,,,1,"Matières : Métal, plastique
Technologie de l'ampoule : LED
Style : Contemporain - Design","59,00","64,00","Luminaire, Luminaire > Luminaire à poser",,,"http://localhost/SDeco/wordpress/wp-content/uploads/2021/11/valieuse-blanc.jpg, http://localhost/SDeco/wordpress/wp-content/uploads/2021/11/valieuse-blanc.jpg, http://localhost/SDeco/wordpress/wp-content/uploads/2021/11/vaeileuse-noir.jpg",,,,,,,,,0,coleur,"NOIR, BLANC",1,0,,,,,
322,simple,PM456-20,"Lampe vintage en verre",1,1,visible,,"Dans un esprit résolument vintage, laissez-vous séduire par cette lampe à poser, proposée par la marque danoise Nordal, qui plaît pour son design fortement inspiré des luminaires des années 50. Monté sur un pied longiligne en métal noir, on aime son diffuseur cylindrique en verre opaque blanc rehaussé d'une lamelle de métal noir qui vient parfaire et donner beaucoup de cachet et de caractère à l'ensemble. Egalement déclinée en version suspension et lampadaire, cette lampe à poser apportera beaucoup d'allure à votre intérieur !",,,taxable,,1,98,,0,0,4.7,30,,47,1,"Puissance ampoule : 40W maximum
Type de douille : E27
Matière détaillée : Verre et métal","300,00","314,00","Luminaire, Luminaire > Luminaire à poser",,,"http://localhost/SDeco/wordpress/wp-content/uploads/2021/11/llm.jpg, http://localhost/SDeco/wordpress/wp-content/uploads/2021/11/llm2.jpg, http://localhost/SDeco/wordpress/wp-content/uploads/2021/11/llm4.jpg",,,,,,,,,0,couleur,noir,1,0,,,,,
326,simple,125-M12,"Lampe en verre blanc socle métal",1,1,visible,,"Dans un esprit très art déco, on opte pour cette lampe à poser Hübsch qui allie minimalisme et élégance. Cet éclairage se compose d'une sphère en verre opaque blanc posée sur un trépied en métal doré, qui contraste joliment avec l'ensemble. Ce luminaire bijou saura mettre en valeur un buffet ou une table de chevet dans une chambre à coucher.",,,taxable,,1,36,,0,0,3,26,,30,1,"Puissance ampoule : 40W maximum
Type de douille : E27
Matière détaillée : Globe en verre et piètement en métal",,"112,5","Luminaire, Luminaire > Luminaire à poser",,,"http://localhost/SDeco/wordpress/wp-content/uploads/2021/11/BOule.jpg, http://localhost/SDeco/wordpress/wp-content/uploads/2021/11/bole2.jpg, http://localhost/SDeco/wordpress/wp-content/uploads/2021/11/bole3.jpg",,,,,,,,,0,,,,,,,,,
330,simple,6666-N8,"Lampe bonbonne en verre recyclé",1,1,visible,"<h1 class=""h1"">Lampe bonbonne en verre recyclé et lin écologique Murano Good &amp; Mojo - vert forêt</h1>","Dans un esprit plus broc, on craque pour la lampe à poser Murano de la marque éco-responsable Good &amp; Mojo. Réalisé en verre recyclé, on aime son pied façon Dame-Jeanne, qui plaît pour son aspect légèrement flouté. La bonbonne Murano est rehaussée d'un large abat-jour circulaire réalisé en lin vert forêt, une tonalité douce et agréable qui apportera beaucoup de chaleur aussi bien à une chambre à coucher qu'un salon familial. Ce luminaire se décline également en lin noir.",,,taxable,,1,82,,0,0,1.8,42,,58,1,"Longeur du câble : 2 m
Nombre de colis : 2 colis
Poids : 1,8 Kg
Puissance ampoule : 60W maximum
Type de douille : E27
Matière détaillée : Abj : lin écologique Socle : verre recyclé",,"189,00","Luminaire > Luminaire à poser",,,"http://localhost/SDeco/wordpress/wp-content/uploads/2021/11/RR.jpg, http://localhost/SDeco/wordpress/wp-content/uploads/2021/11/rr-1.jpg",,,,,,,,,0,,,,,,,,,
342,simple,QZ9984-78,"Lampe globe en verre fumé",1,0,visible,"<h1 class=""h1"">Lampe à poser globe en verre fumé et marbre vert Charlize Lucide</h1>","Inspirée des luminaires des années 50, laissez-vous séduire par la lampe à poser Charlize, signée Lucide qui trouvera sa place aussi bien dans une ambiance art déco que dans un esprit plus contemporain. Elle se compose d'un large globe en vert ambré, qui laisse entrevoir l'ampoule que l'on préferera avec filaments apparement pour un joli rendu déco ! Le tout est monté sur un socle en marbre vert qui plaît tout particulièrement pour ses nuances et son variateur de lumière doré qui confèrent beaucoup de caractère à l'ensemble. Un must-have déco, idéal pour apporter une notre vinatge dans votre pièce.",,,taxable,,1,110,,0,0,,23,,24,1,"Longueur du câble : 190 cm
Puissance ampoule : 40W maximum
Système électrique : Branchement sur prise secteur
Type de douille : E27
Diamètre ampoule : 4,5 cm
Matière détaillée : Socle en marbre et globe en",,"109,090","Luminaire > Luminaire à poser",,,"http://localhost/SDeco/wordpress/wp-content/uploads/2021/11/po.jpg, http://localhost/SDeco/wordpress/wp-content/uploads/2021/11/po2.jpg, http://localhost/SDeco/wordpress/wp-content/uploads/2021/11/po4.jpg",,,,,,,,,0,,,,,,,,,
571,simple,KM55-20L,"plante tombante",1,1,visible,"plante grasse artificielle à épines - vert h23cm\n\ncomposition : Plastique","<p style=""text-align: left;""><strong>Cascade de verdure</strong>\nPrenez de la hauteur avec cette plante tombante à suspendre à votre plafond ou bien en haut d'un meuble. Sa cascade de tiges vertes tombe harmonieusement et donne à votre intérieur un côté jungle du plus bel effet. Cette plante artificielle est inspirée du rhipsalis, un cactus aux multiples ramifications originaire des forêts vierges d'Amérique du Sud. Un objet déco rafraichissant qui ne nécessite aucun entretien.</p>",,,taxable,,1,56,,0,0,23,18,21,18,1,"composition : Plastique",1200,1500,Jardinière,,,"http://localhost/SDeco/wordpress/wp-content/uploads/2021/11/plantetemp2.jpg, http://localhost/SDeco/wordpress/wp-content/uploads/2021/11/plant-top.jpg, http://localhost/SDeco/wordpress/wp-content/uploads/2021/11/planteep.jpg",,,,,,,,,0,coleur,"noir, vert",1,0,,,,,
580,simple,60-MP12,"epine pot",1,0,visible,,"<strong>Plante ornementale</strong>\nCette plante grasse artificielle insufflera gaieté et vitalité à votre intérieur. Associez la à d'autres succulentes afin de créer un joli jardin d'intérieur tout en rondeur et aux couleurs pastel. Petite plante aux feuilles épaisses et charnues, elle apportera une touche de verdure rafraichissante chez vous. Un élément de déco pour tous les intérieurs, sans faux pas possible.",,,taxable,,1,78,,0,0,32,18,23,18,1,"composition : Plastique",,"12,00",Jardinière,,,"http://localhost/SDeco/wordpress/wp-content/uploads/2021/11/epino.jpg, http://localhost/SDeco/wordpress/wp-content/uploads/2021/11/epn1.jpg, http://localhost/SDeco/wordpress/wp-content/uploads/2021/11/epi2.jpg, http://localhost/SDeco/wordpress/wp-content/uploads/2021/11/epino.jpg",,,,,,,,,0,couleur,"noir, vert",1,0,,,,,
590,simple,JQ7854,cahors,1,0,visible,"<p class=""product-description"">table de jardin extensible en acacia huilée - naturel Noir(3 places)</p>\n&nbsp;","<strong>Ensemble moderne</strong>\nEn famille ou entre amis, cette <strong>table</strong> et ses <strong>chaises</strong> seront les témoins de vos moments de partage et de convivialité. L'alliance de l'élégance et la résistance de cet ensemble vous offre un beau confort pour savourer de bons repas. Ces meubles sont de réels atouts déco grâce à leur style moderne sublimé par une touche contemporaine. Ce mobilier convient tant pour l'intérieur que l'extérieur.",,,taxable,,1,20,,0,0,,165,92.5,12,1,"poids maximum supporté : 110,00

Structure en rotin

Plateau en rotin naturel tressé

",,"289,00","Mobilier de jardin",,,"http://localhost/SDeco/wordpress/wp-content/uploads/2021/11/Cahors-80000233-A-1.jpg, http://localhost/SDeco/wordpress/wp-content/uploads/2021/11/cah.jpg, http://localhost/SDeco/wordpress/wp-content/uploads/2021/11/Cahors-80000233-A-1.jpg",,,,,,,,,0,coleur,"Bois foncé, noir",1,0,,,,,
